"zone","state","lga","sector","ea","hhid","item_cd","item_seq","s5q2","s5q3","s5q4","tracked_obs"
4,1,115,1,670,10008,328,1,2,2,60000,0
4,1,115,1,670,10008,328,2,1,2,60000,0
4,1,115,1,670,10008,329,1,1,3,5000,0
4,1,115,1,670,10008,330,1,1,5,15000,0
4,1,115,1,670,10008,332,1,1,2,5000,0
4,1,115,1,670,10008,332,2,1,4,5000,0
4,1,115,1,670,10008,332,3,3,2,5500,0
4,1,115,1,670,10008,332,4,1,3,5000,0
4,1,115,1,670,10008,332,5,2,3,4500,0
4,1,115,1,670,10008,332,6,2,3,4500,0
4,1,115,1,670,10008,334,1,1,4,600,0
4,1,115,1,670,10009,301,1,1,6,35000,0
4,1,115,1,670,10009,302,1,1,6,5000,0
4,1,115,1,670,10009,303,1,1,6,3000,0
4,1,115,1,670,10009,304,1,1,0,18000,0
4,1,115,1,670,10009,304,2,1,5,25000,0
4,1,115,1,670,10009,304,3,1,3,13000,0
4,1,115,1,670,10009,306,1,1,1,1500,0
4,1,115,1,670,10009,306,2,1,1,1500,0
4,1,115,1,670,10009,308,1,1,6,15000,0
4,1,115,1,670,10009,311,1,1,0,6000,0
4,1,115,1,670,10009,312,1,1,4,50000,0
4,1,115,1,670,10009,319,1,1,20,180000,0
4,1,115,1,670,10009,319,2,1,0,550000,0
4,1,115,1,670,10009,319,3,1,0,900000,0
4,1,115,1,670,10009,320,1,1,1,20000,0
4,1,115,1,670,10009,320,2,1,5,10000,0
4,1,115,1,670,10009,321,1,1,1,2000,0
4,1,115,1,670,10009,321,2,1,6,2000,0
4,1,115,1,670,10009,321,3,1,2,3000,0
4,1,115,1,670,10009,322,1,1,0,1000,0
4,1,115,1,670,10009,323,1,1,6,3000,0
4,1,115,1,670,10009,324,1,1,8,10000,0
4,1,115,1,670,10009,325,1,1,3,4000,0
4,1,115,1,670,10009,326,1,1,1,1000,0
4,1,115,1,670,10009,326,2,1,2,800,0
4,1,115,1,670,10009,327,1,1,3,10000,0
4,1,115,1,670,10009,327,2,1,4,15000,0
4,1,115,1,670,10009,328,1,1,5,30000,0
4,1,115,1,670,10009,328,2,1,0,70000,0
4,1,115,1,670,10009,329,1,1,6,3000,0
4,1,115,1,670,10009,329,2,1,6,3000,0
4,1,115,1,670,10009,330,1,1,4,15000,0
4,1,115,1,670,10009,331,1,1,3,22400,0
4,1,115,1,670,10009,332,1,1,1,8000,0
4,1,115,1,670,10009,332,2,1,4,8000,0
4,1,115,1,670,10009,332,3,1,2,6000,0
4,1,115,1,670,10010,301,1,1,5,15000,0
4,1,115,1,670,10010,302,1,1,5,7000,0
4,1,115,1,670,10010,303,1,1,4,10000,0
4,1,115,1,670,10010,304,1,1,10,14000,0
4,1,115,1,670,10010,304,2,1,6,5000,0
4,1,115,1,670,10010,305,1,1,10,8000,0
4,1,115,1,670,10010,306,1,2,3,300,0
4,1,115,1,670,10010,307,1,2,12,15000,0
4,1,115,1,670,10010,311,1,2,4,2500,0
4,1,115,1,670,10010,312,1,1,5,30000,0
4,1,115,1,670,10010,313,1,1,3,42000,0
4,1,115,1,670,10010,319,1,2,2,1200000,0
4,1,115,1,670,10010,319,2,1,2,1000000,0
4,1,115,1,670,10010,319,3,1,12,80000,0
4,1,115,1,670,10010,320,1,1,3,86000,0
4,1,115,1,670,10010,320,2,1,5,10000,0
4,1,115,1,670,10010,321,1,1,7,1000,0
4,1,115,1,670,10010,322,1,1,4,1000,0
4,1,115,1,670,10010,324,1,1,4,26000,0
4,1,115,1,670,10010,326,1,1,6,1000,0
4,1,115,1,670,10010,327,1,1,3,8000,0
4,1,115,1,670,10010,327,2,1,4,10000,0
4,1,115,1,670,10010,327,3,1,5,8000,0
4,1,115,1,670,10010,328,1,1,5,45000,0
4,1,115,1,670,10010,328,2,1,7,30000,0
4,1,115,1,670,10010,329,1,1,4,3000,0
4,1,115,1,670,10010,329,2,1,5,3000,0
4,1,115,1,670,10010,330,1,1,3,10000,0
4,1,115,1,670,10010,331,1,1,4,7000,0
4,1,115,1,670,10010,332,1,1,2,5000,0
4,1,115,1,670,10010,334,1,2,1,10000,0
4,1,104,2,1364,10011,302,1,1,3,550,0
4,1,104,2,1364,10011,303,1,1,3,300,0
4,1,104,2,1364,10011,304,1,1,15,3500,0
4,1,104,2,1364,10011,304,2,1,10,3800,0
4,1,104,2,1364,10011,304,3,1,5,4000,0
4,1,104,2,1364,10011,305,1,1,10,2000,0
4,1,104,2,1364,10011,305,2,1,15,4000,0
4,1,104,2,1364,10011,305,3,1,5,1500,0
4,1,104,2,1364,10011,322,1,1,3,500,0
4,1,104,2,1364,10011,332,1,1,4,2500,0
4,1,104,2,1364,10012,302,1,2,7,600,0
4,1,104,2,1364,10012,303,1,2,10,400,0
4,1,104,2,1364,10012,304,1,4,15,5000,0
4,1,104,2,1364,10012,304,2,2,18,4800,0
4,1,104,2,1364,10012,305,1,4,15,4500,0
4,1,104,2,1364,10012,305,2,2,18,4500,0
4,1,104,2,1364,10012,306,1,4,3,200,0
4,1,104,2,1364,10012,311,1,4,7,1500,0
4,1,104,2,1364,10012,318,1,4,5,12500,0
4,1,104,2,1364,10012,321,1,4,4,1000,0
4,1,104,2,1364,10012,322,1,4,6,200,0
4,1,104,2,1364,10012,326,1,4,3,1200,0
4,1,104,2,1364,10012,327,1,4,3,7500,0
4,1,104,2,1364,10012,332,1,4,3,2000,0
4,1,104,2,1364,10012,332,2,5,2,2000,0
4,1,104,2,1364,10013,302,1,1,10,700,0
4,1,104,2,1364,10013,303,1,1,7,2000,0
4,1,104,2,1364,10013,304,1,1,10,7000,0
4,1,104,2,1364,10013,304,2,1,12,10000,0
4,1,104,2,1364,10013,304,3,1,9,11000,0
4,1,104,2,1364,10013,304,4,1,10,9000,0
4,1,104,2,1364,10013,305,1,1,10,11000,0
4,1,104,2,1364,10013,305,2,1,10,7000,0
4,1,104,2,1364,10013,305,3,1,9,2000,0
4,1,104,2,1364,10013,305,4,1,12,12000,0
4,1,104,2,1364,10013,306,1,1,5,3000,0
4,1,104,2,1364,10013,311,1,1,5,1000,0
4,1,104,2,1364,10013,321,1,1,7,3000,0
4,1,104,2,1364,10013,322,1,1,7,2000,0
4,1,104,2,1364,10013,327,1,1,10,11000,0
4,1,104,2,1364,10013,329,1,1,7,3000,0
4,1,104,2,1364,10013,332,1,1,4,3000,0
4,1,104,2,1364,10014,301,1,1,25,8000,0
4,1,104,2,1364,10014,303,1,1,20,5000,0
4,1,104,2,1364,10014,304,1,1,17,7000,0
4,1,104,2,1364,10014,304,2,1,15,10000,0
4,1,104,2,1364,10014,304,3,1,16,9000,0
4,1,104,2,1364,10014,305,1,1,18,10000,0
4,1,104,2,1364,10014,305,2,1,16,7000,0
4,1,104,2,1364,10014,305,3,1,15,8000,0
4,1,104,2,1364,10014,306,1,1,30,200,0
4,1,104,2,1364,10014,307,1,1,11,4000,0
4,1,104,2,1364,10014,311,1,1,7,1000,0
4,1,104,2,1364,10014,312,1,1,12,15000,0
4,1,104,2,1364,10014,320,1,1,0,40000,0
4,1,104,2,1364,10014,321,1,1,5,3500,0
4,1,104,2,1364,10014,321,2,1,7,3000,0
4,1,104,2,1364,10014,322,1,1,8,2000,0
4,1,104,2,1364,10014,327,1,1,10,15000,0
4,1,104,2,1364,10014,329,1,1,7,3000,0
4,1,104,2,1364,10014,332,1,1,4,4000,0
4,1,104,2,1364,10015,302,1,1,2,500,0
4,1,104,2,1364,10015,303,1,1,2,300,0
4,1,104,2,1364,10015,304,1,1,3,5500,0
4,1,104,2,1364,10015,304,2,1,4,8000,0
4,1,104,2,1364,10015,322,1,1,2,4000,0
4,1,104,2,1364,10015,332,1,2,2,3000,0
4,1,104,2,1364,10016,301,1,1,15,40000,0
4,1,104,2,1364,10016,303,1,1,12,25000,0
4,1,104,2,1364,10016,304,1,1,6,5000,0
4,1,104,2,1364,10016,304,2,1,20,5000,0
4,1,104,2,1364,10016,304,3,1,10,7000,0
4,1,104,2,1364,10016,305,1,1,6,6000,0
4,1,104,2,1364,10016,305,2,1,20,4000,0
4,1,104,2,1364,10016,305,3,1,12,4000,0
4,1,104,2,1364,10016,311,1,1,4,500,0
4,1,104,2,1364,10016,312,1,1,12,25000,0
4,1,104,2,1364,10016,312,2,1,4,35000,0
4,1,104,2,1364,10016,319,1,1,5,140000,0
4,1,104,2,1364,10016,320,1,1,1,5000,0
4,1,104,2,1364,10016,320,2,1,4,200000,0
4,1,104,2,1364,10016,321,1,1,8,2000,0
4,1,104,2,1364,10016,321,2,1,5,2000,0
4,1,104,2,1364,10016,321,3,1,16,2000,0
4,1,104,2,1364,10016,321,4,1,10,2000,0
4,1,104,2,1364,10016,322,1,1,3,500,0
4,1,104,2,1364,10016,326,1,1,5,2000,0
4,1,104,2,1364,10016,327,1,1,5,10000,0
4,1,104,2,1364,10016,327,2,1,2,15000,0
4,1,104,2,1364,10016,328,1,1,3,15000,0
4,1,104,2,1364,10016,329,1,1,5,3000,0
4,1,104,2,1364,10016,332,1,1,4,5000,0
4,1,104,2,1364,10016,332,2,5,1,2000,0
4,1,104,2,1364,10016,332,3,2,3,3000,0
4,1,104,2,1364,10016,332,4,4,1,2000,0
4,1,104,2,1364,10016,332,5,3,1,2000,0
4,1,104,2,1364,10017,301,1,1,12,32000,0
4,1,104,2,1364,10017,302,1,1,12,8000,0
4,1,104,2,1364,10017,303,1,1,12,3000,0
4,1,104,2,1364,10017,304,1,1,20,3000,0
4,1,104,2,1364,10017,304,2,1,10,5000,0
4,1,104,2,1364,10017,304,3,1,15,4000,0
4,1,104,2,1364,10017,305,1,1,20,800,0
4,1,104,2,1364,10017,305,2,1,15,4000,0
4,1,104,2,1364,10017,305,3,1,10,2000,0
4,1,104,2,1364,10017,306,1,1,3,200,0
4,1,104,2,1364,10017,311,1,1,4,500,0
4,1,104,2,1364,10017,312,1,1,10,20000,0
4,1,104,2,1364,10017,321,1,1,8,2000,0
4,1,104,2,1364,10017,321,2,1,6,2000,0
4,1,104,2,1364,10017,321,3,1,5,2000,0
4,1,104,2,1364,10017,322,1,1,7,2500,0
4,1,104,2,1364,10017,324,1,1,5,10000,0
4,1,104,2,1364,10017,326,1,1,4,2000,0
4,1,104,2,1364,10017,327,1,1,6,8000,0
4,1,104,2,1364,10017,328,1,3,3,25000,0
4,1,104,2,1364,10017,332,1,2,2,2000,0
4,1,104,2,1364,10017,332,2,3,4,2000,0
4,1,104,2,1364,10017,332,3,1,1,4000,0
4,1,104,2,1364,10018,301,1,1,5,5000,0
4,1,104,2,1364,10018,302,1,1,5,250,0
4,1,104,2,1364,10018,303,1,1,5,300,0
4,1,104,2,1364,10018,304,1,1,5,800,0
4,1,104,2,1364,10018,305,1,1,0,5200,0
4,1,104,2,1364,10018,305,2,1,5,800,0
4,1,104,2,1364,10018,306,1,1,5,200,0
4,1,104,2,1364,10018,321,1,1,5,1000,0
4,1,104,2,1364,10018,322,1,1,5,2500,0
4,1,104,2,1364,10018,329,1,1,5,3000,0
4,1,104,2,1364,10019,302,1,1,20,1000,0
4,1,104,2,1364,10019,302,2,1,20,500,0
4,1,104,2,1364,10019,303,1,1,20,500,0
4,1,104,2,1364,10019,303,2,1,20,500,0
4,1,104,2,1364,10019,304,1,2,20,1000,0
4,1,104,2,1364,10019,304,2,1,20,1000,0
4,1,104,2,1364,10019,304,3,1,20,1000,0
4,1,104,2,1364,10019,305,1,1,20,1500,0
4,1,104,2,1364,10019,306,1,2,6,400,0
4,1,104,2,1364,10019,311,1,1,3,500,0
4,1,104,2,1364,10019,311,2,3,4,600,0
4,1,104,2,1364,10019,322,1,2,10,300,0
4,1,104,2,1364,10019,332,1,6,5,1000,0
4,1,104,2,1364,10019,332,2,7,5,1000,0
4,1,104,2,1364,10019,332,3,1,0,2500,0
4,1,104,2,1364,10019,334,1,2,2,1000,0
4,1,106,2,880,10021,302,1,1,4,500,0
4,1,106,2,880,10021,303,1,1,12,300,0
4,1,106,2,880,10021,304,1,1,8,3000,0
4,1,106,2,880,10021,304,2,1,4,3500,0
4,1,106,2,880,10021,304,3,1,18,2500,0
4,1,106,2,880,10021,305,1,1,34,1000,0
4,1,106,2,880,10021,305,2,1,18,2000,0
4,1,106,2,880,10021,307,1,2,27,1000,0
4,1,106,2,880,10021,318,1,1,10,10000,0
4,1,106,2,880,10021,321,1,1,17,500,0
4,1,106,2,880,10021,322,1,1,8,800,0
4,1,106,2,880,10021,326,1,1,7,1000,0
4,1,106,2,880,10022,302,1,1,15,300,0
4,1,106,2,880,10022,303,1,1,15,100,0
4,1,106,2,880,10022,304,1,1,25,2500,0
4,1,106,2,880,10022,304,2,1,20,2000,0
4,1,106,2,880,10022,305,1,1,18,5000,0
4,1,106,2,880,10022,306,1,2,6,80,0
4,1,106,2,880,10022,317,1,2,30,800,0
4,1,106,2,880,10022,318,1,1,0,5000,0
4,1,106,2,880,10022,322,1,1,5,1000,0
4,1,106,2,880,10023,302,1,1,8,200,0
4,1,106,2,880,10023,302,2,1,8,200,0
4,1,106,2,880,10023,302,3,1,8,200,0
4,1,106,2,880,10023,302,4,1,8,200,0
4,1,106,2,880,10023,302,5,1,8,200,0
4,1,106,2,880,10023,303,1,1,10,800,0
4,1,106,2,880,10023,303,2,1,14,500,0
4,1,106,2,880,10023,304,1,1,1,6000,0
4,1,106,2,880,10023,304,2,1,32,1500,0
4,1,106,2,880,10023,305,1,1,1,4000,0
4,1,106,2,880,10023,305,2,1,32,2000,0
4,1,106,2,880,10023,306,1,2,2,50,0
4,1,106,2,880,10023,317,1,2,15,800,0
4,1,106,2,880,10023,321,1,1,4,500,0
4,1,106,2,880,10023,327,1,1,4,5000,0
4,1,106,2,880,10023,332,1,1,1,3000,0
4,1,106,2,880,10024,303,1,1,15,2000,0
4,1,106,2,880,10024,304,1,1,20,5000,0
4,1,106,2,880,10024,304,2,2,25,4000,0
4,1,106,2,880,10024,305,1,2,19,7000,0
4,1,106,2,880,10024,305,2,1,30,1500,0
4,1,106,2,880,10024,317,1,2,40,4000,0
4,1,106,2,880,10024,322,1,1,7,1000,0
4,1,106,2,880,10025,302,1,1,4,600,0
4,1,106,2,880,10025,302,2,1,7,600,0
4,1,106,2,880,10025,302,3,1,5,600,0
4,1,106,2,880,10025,303,1,1,7,1000,0
4,1,106,2,880,10025,304,1,1,8,3000,0
4,1,106,2,880,10025,311,1,2,4,1500,0
4,1,106,2,880,10025,317,1,1,6,4000,0
4,1,106,2,880,10025,322,1,1,4,1500,0
4,1,106,2,880,10025,332,1,1,3,2000,0
4,1,106,2,880,10026,304,1,1,25,5000,0
4,1,106,2,880,10026,305,1,1,25,2000,0
4,1,106,2,880,10027,302,1,1,1,600,0
4,1,106,2,880,10027,304,1,1,5,2000,0
4,1,106,2,880,10027,304,2,2,2,1500,0
4,1,106,2,880,10027,306,1,2,7,300,0
4,1,106,2,880,10027,311,1,1,3,1500,0
4,1,106,2,880,10027,317,1,2,10,2500,0
4,1,106,2,880,10027,318,1,1,3,50000,0
4,1,106,2,880,10027,332,1,1,0,2000,0
4,1,106,2,880,10028,302,1,1,10,150,0
4,1,106,2,880,10028,305,1,1,10,200,0
4,1,106,2,880,10028,306,1,1,4,100,0
4,1,106,2,880,10029,304,1,1,1,3000,0
4,1,106,2,880,10029,318,1,1,4,25000,0
4,1,106,2,880,10029,334,1,1,1,300,0
4,1,106,2,880,10030,304,1,1,15,1000,0
4,1,106,2,880,10030,304,2,1,15,1200,0
4,1,106,2,880,10030,304,3,1,30,500,0
4,1,106,2,880,10030,305,1,1,30,2500,0
4,1,106,2,880,10030,305,2,1,14,1000,0
4,1,106,2,880,10030,305,3,1,14,1000,0
4,1,106,2,880,10030,317,1,1,10,2000,0
4,1,106,2,880,10030,327,1,1,2,4000,0
4,1,106,2,880,10030,332,1,1,2,1500,0
4,1,111,1,1146,10031,301,1,1,12,50000,0
4,1,111,1,1146,10031,302,1,1,8,300,0
4,1,111,1,1146,10031,302,2,1,7,500,0
4,1,111,1,1146,10031,302,3,1,6,400,0
4,1,111,1,1146,10031,302,4,1,10,400,0
4,1,111,1,1146,10031,303,1,1,10,5000,0
4,1,111,1,1146,10031,304,1,1,12,15000,0
4,1,111,1,1146,10031,304,2,1,13,12000,0
4,1,111,1,1146,10031,304,3,1,11,10000,0
4,1,111,1,1146,10031,305,1,1,11,8000,0
4,1,111,1,1146,10031,305,2,1,13,6000,0
4,1,111,1,1146,10031,305,3,1,12,7000,0
4,1,111,1,1146,10031,306,1,2,7,300,0
4,1,111,1,1146,10031,311,1,2,5,1000,0
4,1,111,1,1146,10031,313,1,1,12,25000,0
4,1,111,1,1146,10031,320,1,1,10,20000,0
4,1,111,1,1146,10031,321,1,0,0,0,0
4,1,111,1,1146,10031,321,2,0,0,0,0
4,1,111,1,1146,10031,321,3,1,10,3500,0
4,1,111,1,1146,10031,322,1,1,8,10000,0
4,1,111,1,1146,10031,326,1,1,7,2500,0
4,1,111,1,1146,10031,327,1,1,10,18000,0
4,1,111,1,1146,10031,329,1,1,7,4000,0
4,1,111,1,1146,10031,330,1,1,6,10000,0
4,1,111,1,1146,10031,332,1,1,4,5000,0
4,1,111,1,1146,10032,301,1,1,3,60000,0
4,1,111,1,1146,10032,302,1,1,4,5000,0
4,1,111,1,1146,10032,303,1,1,4,3000,0
4,1,111,1,1146,10032,304,1,1,5,11000,0
4,1,111,1,1146,10032,304,2,98,7,10000,0
